mcs,DCF-NumPy_thr,DCF-NumPy_thr_conf,Unnamed: 0,thr_ns3,thr_ns3_conf
0.0,4.2859475325526795,0.014016440142688623,0,4.28199,0.0
1.0,6.287491135346162,0.0206951159673662,1,6.24069,0.0
2.0,8.19227612341256,0.02688835425714817,2,8.162769999999998,0.0
3.0,11.722798844639819,0.03862076836127888,3,11.8458,0.0
4.0,14.942614910408448,0.049416783535732686,4,15.0274,0.0
5.0,20.600920864911547,0.0686489778472951,5,20.5187,0.0
6.0,25.728623696766633,0.0864097277719921,6,25.1714,0.0
7.0,27.80486755002324,0.09370209039512828,7,27.5905,0.0
