,cw,throughput,default_thr
0,1.0,0.0,26.456295483299368
1,2.0,0.0065,26.456295483299368
2,4.0,0.4672,26.456295483299368
3,8.0,4.4019,26.456295483299368
4,16.0,13.4144,26.456295483299368
5,32.0,22.4743,26.456295483299368
6,64.0,28.0332,26.456295483299368
7,128.0,30.0539,26.456295483299368
8,256.0,28.9585,26.456295483299368
9,512.0,25.1137,26.456295483299368
10,1024.0,19.4762,26.456295483299368
