payload,DCF-NumPy_thr,DCF-NumPy_thr_conf,Unnamed: 0,thr_ns3,thr_ns3_conf
100.0,4.86121044725262,0.01815102737272102,0,3.41659,0.0
200.0,8.520315973426085,0.031056671538113232,1,7.5548,0.0
300.0,11.88091576824072,0.04443241137626814,2,10.668,0.0
400.0,14.374655713899525,0.05110705717008319,3,13.2667,0.0
500.0,16.271248912315553,0.05716890285516428,4,15.7542,0.0
600.0,18.64500766928309,0.06518694147235224,5,17.606799999999996,0.0
700.0,19.95297379265828,0.06918043973014365,6,19.3282,0.0
800.0,21.061065399037478,0.07253049551407827,7,20.579200000000004,0.0
900.0,22.63464677916879,0.07970235224536003,8,22.1232,0.0
1000.0,23.61931970241573,0.08069349650062216,9,23.1695,0.0
1100.0,24.93455213072633,0.08698008810117362,10,24.063700000000004,0.0
1200.0,25.70052124129411,0.08726581022849164,11,25.2449,0.0
1300.0,26.212873860260107,0.08870774326589255,12,26.001200000000004,0.0
1400.0,26.66857504842007,0.0899895633667898,13,26.678400000000003,0.0
1500.0,27.80486755002324,0.09370209039512828,14,27.5905,0.0
1600.0,28.14439766798063,0.09462381190198609,15,28.3517,0.0
1700.0,28.99690415694975,0.09914998672364653,16,28.6402,0.0
1800.0,29.25438412484887,0.09975948697441633,17,29.0255,0.0
1900.0,30.168123125855896,0.10274704608993344,18,29.7167,0.0
2000.0,30.508010569154195,0.1020060027080322,19,30.1363,0.0
2100.0,30.67536492663041,0.10241634991866748,20,30.7835,0.0
2200.0,30.82910656226421,0.10279493844060893,21,31.1149,0.0
