N,CWmin,CWmax,collision probability
1,16,16,0.0
2,16,16,0.12804194980824868
3,16,16,0.22254604698657623
4,16,16,0.3004871051180891
5,16,16,0.3845886902045214
6,16,16,0.46039458593651017
7,16,16,0.5172992718777262
8,16,16,0.5854524967419423
9,16,16,0.6197803374320388
10,16,16,0.6556748811212232
