mcs,DCF-NumPy_thr,DCF-NumPy_thr_conf
0.0,4285947.532552679,14016.440142688625
1.0,6287491.135346162,20695.115967366197
2.0,8192276.12341256,26888.35425714817
3.0,11722798.84463982,38620.768361278875
4.0,14942614.910408448,49416.783535732684
5.0,20600920.86491155,68648.9778472951
6.0,25728623.696766634,86409.7277719921
7.0,27804867.55002324,93702.09039512828
