params,DCF-NumPy,ns-3
1,0.866,918.425
1,0.81,902.848
1,0.836,921.129
1,0.825,921.516
1,0.811,922.598
1,0.819,910.366
1,0.808,907.824
1,0.8,920.675
1,0.808,912.098
1,0.812,903.546
